collection,keys_per_request,latency
property,38,13
destination,11,6
neighborhood,9,6
lodging_type,5,5
property,37,7
destination,12,6
neighborhood,7,5
lodging_type,3,5
property,43,6
destination,13,8
neighborhood,14,10
lodging_type,4,11
property,44,7
destination,12,3
neighborhood,11,11
lodging_type,9,30
property,35,5
destination,14,4
neighborhood,9,4
lodging_type,6,4
property,40,9
destination,16,5
neighborhood,9,4
lodging_type,6,4
property,37,5
destination,14,5
neighborhood,8,6
lodging_type,10,3
property,45,41
destination,18,32
neighborhood,8,5
lodging_type,8,5
property,30,3
destination,10,1
neighborhood,10,2
lodging_type,5,48
property,42,5
destination,11,2
neighborhood,16,2
lodging_type,4,1
property,44,3
destination,9,2
neighborhood,13,2
lodging_type,6,1
property,47,3
destination,16,2
neighborhood,7,2
lodging_type,9,1
property,43,3
destination,10,2
neighborhood,8,1
lodging_type,8,1
property,41,3
destination,12,2
neighborhood,11,2
lodging_type,8,1
property,37,2
destination,11,2
neighborhood,10,2
lodging_type,3,1
property,31,2
destination,6,1
neighborhood,8,1
lodging_type,7,1
property,42,5
destination,11,2
neighborhood,14,2
lodging_type,2,1
property,39,3
destination,15,3
neighborhood,12,2
lodging_type,9,1
property,39,2
destination,11,1
neighborhood,8,2
lodging_type,3,1
property,36,2
destination,12,2
neighborhood,14,2
lodging_type,4,1
property,44,2
destination,9,2
neighborhood,10,2
lodging_type,5,1
property,52,3
destination,10,2
neighborhood,14,2
lodging_type,3,1
property,33,4
destination,10,2
neighborhood,11,2
lodging_type,4,1
property,37,3
destination,16,1
neighborhood,11,2
lodging_type,8,1
property,30,2
destination,8,2
neighborhood,8,2
lodging_type,6,2
property,40,2
destination,12,2
neighborhood,11,7
lodging_type,4,2
property,44,9
destination,8,2
neighborhood,10,2
lodging_type,3,1
property,37,2
destination,7,2
neighborhood,18,2
lodging_type,6,2
property,44,3
destination,6,1
neighborhood,7,2
lodging_type,4,1
property,36,3
destination,16,2
neighborhood,9,2
lodging_type,6,2
property,52,2
destination,8,2
neighborhood,18,2
lodging_type,4,1
property,48,2
destination,12,2
neighborhood,11,1
lodging_type,6,1
property,40,3
destination,9,2
neighborhood,12,2
lodging_type,6,1
property,40,2
destination,6,1
neighborhood,19,2
lodging_type,6,2
property,44,2
destination,12,2
neighborhood,15,2
lodging_type,6,1
property,42,2
destination,14,2
neighborhood,10,2
lodging_type,8,1
property,42,2
destination,5,1
neighborhood,22,2
lodging_type,5,1
property,42,2
destination,11,2
neighborhood,17,2
lodging_type,0,0
property,45,2
destination,15,2
neighborhood,11,1
lodging_type,3,1
property,39,2
destination,11,2
neighborhood,10,2
lodging_type,3,2
property,38,2
destination,10,2
neighborhood,12,2
lodging_type,6,1
property,44,2
destination,8,2
neighborhood,12,2
lodging_type,7,1
property,40,2
destination,8,1
neighborhood,5,1
lodging_type,6,1
property,35,2
destination,7,1
neighborhood,10,2
lodging_type,5,1
property,37,2
destination,13,2
neighborhood,14,2
lodging_type,12,1
property,41,3
destination,9,2
neighborhood,12,2
lodging_type,3,1
property,35,2
destination,13,2
neighborhood,13,2
lodging_type,5,1
property,44,2
destination,19,2
neighborhood,14,2
lodging_type,5,1
property,53,2
destination,11,1
neighborhood,9,2
lodging_type,3,1
property,49,2
destination,10,2
neighborhood,12,2
lodging_type,4,1
property,44,3
destination,10,1
neighborhood,19,2
lodging_type,6,2
property,53,3
destination,11,2
neighborhood,9,1
lodging_type,4,1
property,32,2
destination,10,2
neighborhood,7,1
lodging_type,8,1
property,31,2
destination,19,1
neighborhood,14,2
lodging_type,2,1
property,35,3
destination,15,2
neighborhood,8,2
lodging_type,6,1
property,38,2
destination,11,2
neighborhood,17,2
lodging_type,1,1
property,39,3
destination,13,2
neighborhood,12,2
lodging_type,9,1
property,40,2
destination,9,2
neighborhood,8,1
lodging_type,10,4
property,42,2
destination,9,1
neighborhood,11,2
lodging_type,9,1
property,40,2
destination,15,2
neighborhood,11,2
lodging_type,6,2
property,39,2
destination,9,1
neighborhood,12,2
lodging_type,2,1
property,42,2
destination,12,2
neighborhood,12,1
lodging_type,3,1
property,51,2
destination,19,2
neighborhood,6,1
lodging_type,5,1
property,42,3
destination,12,2
neighborhood,9,2
lodging_type,3,1
property,37,2
destination,13,2
neighborhood,21,2
lodging_type,4,2
property,41,2
destination,15,3
neighborhood,14,2
lodging_type,5,1
property,38,2
destination,7,1
neighborhood,10,2
lodging_type,3,1
property,40,2
destination,13,2
neighborhood,10,1
lodging_type,3,1
property,31,2
destination,18,1
neighborhood,9,2
lodging_type,4,1
property,40,2
destination,7,2
neighborhood,14,2
lodging_type,5,1
property,43,3
destination,12,2
neighborhood,11,2
lodging_type,7,1
property,40,2
destination,11,2
neighborhood,9,2
lodging_type,3,1
property,57,2
destination,16,2
neighborhood,15,2
lodging_type,5,1
property,40,2
destination,14,1
neighborhood,11,1
lodging_type,7,1
property,40,2
destination,12,2
neighborhood,10,1
lodging_type,3,1
property,55,3
destination,13,2
neighborhood,13,2
lodging_type,6,1
property,38,2
destination,11,3
neighborhood,9,1
lodging_type,4,2
property,36,3
destination,12,1
neighborhood,12,2
lodging_type,3,1
property,55,2
destination,11,1
neighborhood,13,2
lodging_type,2,1
property,35,2
destination,19,2
neighborhood,13,2
lodging_type,4,1
property,30,2
destination,14,1
neighborhood,16,2
lodging_type,7,2
property,43,2
destination,15,2
neighborhood,7,2
lodging_type,3,1
property,42,2
destination,17,2
neighborhood,19,2
lodging_type,0,0
property,35,2
destination,11,2
neighborhood,13,1
lodging_type,2,2
property,32,2
destination,15,1
neighborhood,13,2
lodging_type,5,1
property,38,2
destination,13,2
neighborhood,4,1
lodging_type,2,1
property,37,2
destination,9,1
neighborhood,11,2
lodging_type,15,2
property,46,3
destination,12,2
neighborhood,6,2
lodging_type,3,2
property,39,2
destination,10,1
neighborhood,18,1
lodging_type,5,1
property,45,2
destination,11,2
neighborhood,16,2
lodging_type,3,1
property,46,2
destination,11,1
neighborhood,11,1
lodging_type,5,1
property,36,11
destination,17,2
neighborhood,12,2
lodging_type,3,1
property,44,3
destination,7,3
neighborhood,6,1
lodging_type,4,1
property,46,2
destination,11,1
neighborhood,10,2
lodging_type,3,1
property,39,2
destination,15,2
neighborhood,10,2
lodging_type,8,1
property,44,2
destination,14,1
neighborhood,17,2
lodging_type,7,1
property,33,2
destination,10,2
neighborhood,15,2
lodging_type,5,1
property,40,2
destination,5,1
neighborhood,15,2
lodging_type,5,1
property,39,2
destination,10,1
neighborhood,10,1
lodging_type,7,1
property,43,2
destination,11,1
neighborhood,15,2
lodging_type,3,1
property,33,2
destination,12,2
neighborhood,13,2
lodging_type,7,1
property,41,2
destination,16,2
neighborhood,11,2
lodging_type,7,2
property,45,2
destination,15,2
neighborhood,11,1
lodging_type,8,1
property,38,2
destination,14,1
neighborhood,15,2
lodging_type,2,1
property,44,2
destination,15,2
neighborhood,10,1
lodging_type,6,1
property,39,2
destination,11,2
neighborhood,13,2
lodging_type,3,1
property,46,2
destination,15,2
neighborhood,17,2
lodging_type,6,2
property,38,2
destination,9,2
neighborhood,11,1
lodging_type,3,1
property,45,2
destination,12,1
neighborhood,18,2
lodging_type,1,1
property,46,3
destination,10,1
neighborhood,6,1
lodging_type,9,1
property,46,2
destination,13,1
neighborhood,13,1
lodging_type,6,1
property,31,2
destination,13,2
neighborhood,11,1
lodging_type,5,1
property,35,2
destination,16,2
neighborhood,6,1
lodging_type,4,1
property,40,2
destination,17,1
neighborhood,19,2
lodging_type,8,1
property,45,2
destination,13,2
neighborhood,7,2
lodging_type,3,1
property,42,2
destination,13,2
neighborhood,11,1
lodging_type,7,1
property,36,2
destination,11,2
neighborhood,10,1
lodging_type,8,1
property,29,2
destination,11,2
neighborhood,11,2
lodging_type,4,2
property,35,2
destination,9,1
neighborhood,13,2
lodging_type,5,1
property,32,2
destination,9,1
neighborhood,8,1
lodging_type,7,1
property,47,2
destination,6,2
neighborhood,11,2
lodging_type,3,2
property,35,2
destination,10,1
neighborhood,8,2
lodging_type,3,1
property,37,2
destination,14,2
neighborhood,11,2
lodging_type,4,1
property,36,2
destination,11,1
neighborhood,23,2
lodging_type,8,1
property,36,3
destination,15,2
neighborhood,11,2
lodging_type,4,1
property,45,2
destination,16,2
neighborhood,10,2
lodging_type,2,1
property,49,2
destination,15,2
neighborhood,15,2
lodging_type,5,1
property,37,2
destination,15,2
neighborhood,13,2
lodging_type,6,1
property,40,2
destination,7,1
neighborhood,4,1
lodging_type,3,1
property,35,9
destination,16,1
neighborhood,12,1
lodging_type,4,1
property,43,2
destination,14,2
neighborhood,12,1
lodging_type,8,1
property,40,2
destination,21,2
neighborhood,14,1
lodging_type,5,1
property,33,2
destination,9,1
neighborhood,7,2
lodging_type,4,1
property,34,2
destination,13,1
neighborhood,10,1
lodging_type,2,1
property,38,2
destination,13,2
neighborhood,16,2
lodging_type,8,1
property,49,2
destination,13,1
neighborhood,13,2
lodging_type,7,1
property,35,2
destination,9,2
neighborhood,14,2
lodging_type,7,1
property,27,2
destination,11,2
neighborhood,7,2
lodging_type,7,1
property,38,2
destination,6,1
neighborhood,16,2
lodging_type,0,0
property,39,2
destination,9,2
neighborhood,13,1
lodging_type,6,1
property,36,2
destination,11,2
neighborhood,10,2
lodging_type,2,1
property,32,2
destination,10,2
neighborhood,13,2
lodging_type,3,1
property,47,13
destination,14,11
neighborhood,16,6
lodging_type,5,7
property,46,2
destination,12,1
neighborhood,10,1
lodging_type,7,1
property,45,1
destination,9,2
neighborhood,9,2
lodging_type,3,1
property,32,2
destination,6,4
neighborhood,8,27
lodging_type,2,36
property,39,3
destination,11,3
neighborhood,16,2
lodging_type,4,1
property,35,2
destination,12,1
neighborhood,17,1
lodging_type,7,1
property,40,2
destination,10,1
neighborhood,17,1
lodging_type,8,1
property,28,2
destination,9,2
neighborhood,16,2
lodging_type,9,1
property,37,2
destination,16,2
neighborhood,9,1
lodging_type,4,1
property,34,2
destination,13,2
neighborhood,12,1
lodging_type,2,1
property,49,2
destination,13,1
neighborhood,11,2
lodging_type,3,1
property,40,2
destination,11,1
neighborhood,18,2
lodging_type,3,1
property,40,2
destination,10,2
neighborhood,11,2
lodging_type,7,1
property,40,2
destination,12,2
neighborhood,14,2
lodging_type,9,1
property,41,2
destination,15,1
neighborhood,11,2
lodging_type,4,6
property,28,2
destination,17,2
neighborhood,20,2
lodging_type,11,2
property,40,2
destination,7,1
neighborhood,5,2
lodging_type,2,1
property,46,2
destination,10,2
neighborhood,12,2
lodging_type,2,1
property,36,6
destination,9,2
neighborhood,18,2
lodging_type,5,1
property,41,2
destination,8,1
neighborhood,11,2
lodging_type,4,2
property,36,2
destination,9,2
neighborhood,15,2
lodging_type,3,2
property,45,2
destination,9,1
neighborhood,18,2
lodging_type,4,2
property,37,2
destination,13,1
neighborhood,18,1
lodging_type,4,1
property,49,2
destination,15,3
neighborhood,9,2
lodging_type,4,3
property,34,2
destination,12,21
neighborhood,13,3
lodging_type,7,4
property,34,2
destination,15,2
neighborhood,20,2
lodging_type,8,1
property,52,2
destination,10,1
neighborhood,10,1
lodging_type,4,1
property,42,2
destination,12,1
neighborhood,16,2
lodging_type,7,1
property,35,2
destination,15,2
neighborhood,11,2
lodging_type,7,2
property,44,2
destination,11,2
neighborhood,13,1
lodging_type,6,1
property,53,2
destination,17,2
neighborhood,12,1
lodging_type,2,1
property,51,3
destination,11,2
neighborhood,12,1
lodging_type,4,1
property,40,2
destination,6,1
neighborhood,6,2
lodging_type,5,1
property,37,2
destination,11,1
neighborhood,8,2
lodging_type,5,3
property,51,2
destination,9,2
neighborhood,13,2
lodging_type,4,1
property,53,2
destination,12,1
neighborhood,15,1
lodging_type,3,1
property,34,2
destination,5,2
neighborhood,14,1
lodging_type,3,1
property,31,2
destination,17,2
neighborhood,12,1
lodging_type,6,1
property,45,2
destination,11,1
neighborhood,16,2
lodging_type,5,1
property,45,2
destination,10,1
neighborhood,8,4
lodging_type,7,1
property,42,2
destination,7,4
neighborhood,15,1
lodging_type,5,1
property,40,3
destination,12,1
neighborhood,15,2
lodging_type,3,1
property,43,2
destination,16,2
neighborhood,14,2
lodging_type,6,1
property,45,2
destination,7,1
neighborhood,10,9
lodging_type,5,1
property,39,2
destination,7,2
neighborhood,10,1
lodging_type,3,1
property,39,2
destination,14,1
neighborhood,15,2
lodging_type,8,1
property,47,2
destination,15,3
neighborhood,15,2
lodging_type,2,2
property,41,4
destination,10,2
neighborhood,10,1
lodging_type,6,1
property,34,2
destination,12,2
neighborhood,13,1
lodging_type,6,1
property,36,2
destination,11,2
neighborhood,12,2
lodging_type,6,2
property,43,2
destination,7,1
neighborhood,13,2
lodging_type,7,1
property,30,13
destination,9,1
neighborhood,19,1
lodging_type,5,1
property,33,2
destination,12,1
neighborhood,6,1
lodging_type,9,1
property,45,3
destination,9,2
neighborhood,8,1
lodging_type,1,1
property,41,2
destination,15,2
neighborhood,16,2
lodging_type,3,1
property,35,2
destination,14,1
neighborhood,4,1
lodging_type,4,1
property,47,1
destination,13,1
neighborhood,6,1
lodging_type,3,1
property,33,2
destination,7,1
neighborhood,7,1
lodging_type,5,1
property,35,2
destination,13,1
neighborhood,11,1
lodging_type,7,1
property,47,2
destination,14,2
neighborhood,9,1
lodging_type,7,1
property,51,2
destination,6,2
neighborhood,14,2
lodging_type,6,2
property,48,1
destination,19,3
neighborhood,10,1
lodging_type,12,1
property,37,1
destination,11,2
neighborhood,10,1
lodging_type,8,1
property,39,2
destination,13,2
neighborhood,10,1
lodging_type,4,1
property,41,2
destination,13,1
neighborhood,12,2
lodging_type,6,2
property,26,1
destination,14,1
neighborhood,16,2
lodging_type,4,1
property,38,1
destination,14,2
neighborhood,12,2
lodging_type,3,1
property,41,2
destination,5,1
neighborhood,22,2
lodging_type,6,1
property,27,1
destination,6,1
neighborhood,13,1
lodging_type,6,1
property,40,2
destination,5,1
neighborhood,14,1
lodging_type,3,1
property,34,2
destination,11,1
neighborhood,17,4
lodging_type,4,1
property,43,1
destination,14,1
neighborhood,11,2
lodging_type,6,2
property,29,2
destination,18,2
neighborhood,8,4
lodging_type,3,3
property,43,3
destination,12,1
neighborhood,9,1
lodging_type,6,1
property,44,2
destination,12,1
neighborhood,13,2
lodging_type,4,1
property,42,2
destination,12,1
neighborhood,10,2
lodging_type,3,1
property,46,2
destination,13,1
neighborhood,16,1
lodging_type,9,1
property,41,3
destination,12,2
neighborhood,22,1
lodging_type,2,1
property,36,1
destination,6,1
neighborhood,11,1
lodging_type,2,1
property,40,2
destination,11,1
neighborhood,7,1
lodging_type,7,1
property,44,2
destination,15,1
neighborhood,11,1
lodging_type,5,1
property,39,1
destination,12,1
neighborhood,16,3
lodging_type,5,2
property,38,2
destination,12,1
neighborhood,8,1
lodging_type,3,1
property,39,2
destination,15,1
neighborhood,18,1
lodging_type,1,1
property,38,2
destination,14,2
neighborhood,10,1
lodging_type,5,1
property,46,2
destination,5,1
neighborhood,12,1
lodging_type,7,1
property,36,1
destination,14,2
neighborhood,8,1
lodging_type,7,1
property,37,2
destination,17,1
neighborhood,14,2
lodging_type,4,1
property,35,2
destination,14,1
neighborhood,10,1
lodging_type,3,1
property,37,2
destination,14,1
neighborhood,18,1
lodging_type,4,1
property,46,2
destination,17,1
neighborhood,14,1
lodging_type,10,1
property,34,1
destination,14,2
neighborhood,12,1
lodging_type,7,1
property,37,2
destination,12,1
neighborhood,9,1
lodging_type,6,1
property,33,2
destination,9,1
neighborhood,15,1
lodging_type,2,1
property,37,2
destination,10,2
neighborhood,10,2
lodging_type,3,1
property,43,2
destination,13,1
neighborhood,19,2
lodging_type,3,1
property,48,1
destination,17,1
neighborhood,12,1
lodging_type,4,1
property,49,2
destination,13,1
neighborhood,11,1
lodging_type,7,1
property,39,2
destination,14,1
neighborhood,19,2
lodging_type,4,2
property,38,2
destination,12,1
neighborhood,10,1
lodging_type,5,1
property,47,3
destination,12,2
neighborhood,16,2
lodging_type,4,2
property,38,1
destination,10,2
neighborhood,9,1
lodging_type,5,1
property,41,2
destination,11,2
neighborhood,9,2
lodging_type,2,1
property,46,2
destination,13,2
neighborhood,12,1
lodging_type,4,1
property,55,2
destination,12,1
neighborhood,15,2
lodging_type,5,2
property,35,2
destination,10,1
neighborhood,10,1
lodging_type,5,1
property,32,2
destination,10,1
neighborhood,9,2
lodging_type,3,2
property,55,2
destination,20,2
neighborhood,16,1
lodging_type,8,1
property,40,2
destination,12,1
neighborhood,11,1
lodging_type,3,1
property,37,2
destination,12,1
neighborhood,12,1
lodging_type,4,2
property,31,2
destination,9,1
neighborhood,13,12
lodging_type,7,1
property,44,2
destination,12,2
neighborhood,19,2
lodging_type,7,1
property,49,2
destination,15,2
neighborhood,8,1
lodging_type,1,1
property,45,2
destination,12,2
neighborhood,9,3
lodging_type,10,1
property,41,2
destination,19,18
neighborhood,13,10
lodging_type,3,1
property,42,2
destination,19,2
neighborhood,12,1
lodging_type,3,0
property,46,2
destination,13,1
neighborhood,14,1
lodging_type,7,1
property,45,2
destination,11,1
neighborhood,10,1
lodging_type,2,1
property,45,2
destination,9,1
neighborhood,11,1
lodging_type,8,1
property,41,2
destination,14,1
neighborhood,12,1
lodging_type,4,1
property,44,2
destination,8,1
neighborhood,13,2
lodging_type,8,1
property,43,2
destination,6,1
neighborhood,9,1
lodging_type,6,1
property,35,2
destination,11,1
neighborhood,7,3
lodging_type,5,1
property,44,2
destination,10,1
neighborhood,9,2
lodging_type,3,1
property,43,2
destination,15,2
neighborhood,9,1
lodging_type,11,1
property,34,2
destination,10,2
neighborhood,16,1
lodging_type,0,0
property,35,2
destination,9,1
neighborhood,20,2
lodging_type,5,1
property,43,2
destination,10,2
neighborhood,9,2
lodging_type,10,1
property,48,2
destination,12,2
neighborhood,16,1
lodging_type,6,1
property,42,3
destination,10,1
neighborhood,10,2
lodging_type,5,1
property,41,2
destination,9,2
neighborhood,6,3
lodging_type,7,2
property,41,2
destination,9,2
neighborhood,7,3
lodging_type,6,2
property,51,2
destination,15,10
neighborhood,18,2
lodging_type,6,1
property,58,2
destination,15,17
neighborhood,16,2
lodging_type,7,1
property,39,4
destination,8,3
neighborhood,13,2
lodging_type,2,3
property,41,3
destination,14,1
neighborhood,7,1
lodging_type,0,0
property,42,2
destination,10,1
neighborhood,13,1
lodging_type,8,1
property,42,2
destination,15,1
neighborhood,20,2
lodging_type,8,1
property,33,2
destination,15,2
neighborhood,9,1
lodging_type,1,1
property,52,2
destination,13,1
neighborhood,15,2
lodging_type,4,1
property,45,2
destination,15,1
neighborhood,13,1
lodging_type,3,1
property,40,2
destination,7,1
neighborhood,4,1
lodging_type,7,2
property,47,2
destination,15,2
neighborhood,11,1
lodging_type,4,1
property,38,2
destination,8,1
neighborhood,13,2
lodging_type,3,1
property,29,2
destination,17,1
neighborhood,7,1
lodging_type,6,1
property,49,2
destination,12,2
neighborhood,16,2
lodging_type,5,2
property,40,2
destination,21,1
neighborhood,10,1
lodging_type,6,1
property,46,3
destination,10,1
