collection,key
neighborhood,10244
neighborhood,10589
neighborhood,10102
neighborhood,10022
neighborhood,10194
neighborhood,10078
property,10039
property,100385
property,10
property,100156
property,100179
property,100749
property,100015
property,100047
property,100139
property,100115
property,100710
property,100039
lodging_type,2
lodging_type,1
lodging_type,G
lodging_type,A
lodging_type,6
lodging_type,5
lodging_type,R
destination,1109
destination,1573
destination,1439
neighborhood,1065
neighborhood,10088
property,100143
property,10005
property,100815
property,100118
lodging_type,2
lodging_type,A
destination,1274
destination,1658
destination,1344
destination,1302
neighborhood,10328
neighborhood,10509
neighborhood,10728
property,100411
property,100314
property,100500
property,100658
property,100629
property,100035
property,100888
lodging_type,1
lodging_type,G
destination,1741
destination,1761
destination,1171
destination,105
destination,1517
destination,1061
destination,1177
neighborhood,10075
neighborhood,10026
neighborhood,10017
neighborhood,10301
neighborhood,10226
neighborhood,10303
neighborhood,10126
property,100140
property,100862
property,100090
property,100341
property,100628
property,10051
lodging_type,3
lodging_type,1
lodging_type,7
lodging_type,B
destination,1022
neighborhood,1
neighborhood,10003
neighborhood,10020
property,100026
property,100178
property,100264
property,100011
property,100710
property,100175
lodging_type,6
lodging_type,R
destination,1830
destination,1001
destination,1892
destination,1067
destination,1727
destination,1133
destination,1212
destination,1015
neighborhood,10252
property,100335
property,100035
lodging_type,2
lodging_type,G
lodging_type,7
lodging_type,B
lodging_type,4
destination,1361
destination,1007
destination,1223
destination,1068
destination,1366
neighborhood,10080
neighborhood,10420
neighborhood,10009
neighborhood,10829
property,100824
property,100501
property,100412
property,100443
property,100504
property,100095
lodging_type,2
lodging_type,1
lodging_type,7
lodging_type,A
lodging_type,4
lodging_type,R
lodging_type,8
destination,1149
destination,183
destination,111
destination,1092
destination,1612
destination,1117
destination,1000
neighborhood,10075
neighborhood,10054
neighborhood,10267
neighborhood,10626
neighborhood,10851
neighborhood,10020
neighborhood,10493
property,100228
property,100035
property,100893
property,100126
lodging_type,3
lodging_type,2
lodging_type,4
lodging_type,8
destination,1055
neighborhood,10119
neighborhood,10600
neighborhood,10688
property,100563
property,100225
property,100604
property,100148
lodging_type,T
lodging_type,2
lodging_type,1
